dataset,regime,alpha,baseline_name,seed_count,certified_seed_count,certified_seeds,mean_certified_coverage_all_seeds,min_certified_coverage_all_seeds,mean_certified_coverage_certified_seeds,mean_cert_risk_ucb_on_best_certified,mean_test_risk_on_best_certified,mean_test_coverage_on_best_certified,best_failed_cert_risk_ucb,best_failed_cert_coverage_lcb,failure_reason,test_risk_le_alpha_but_cert_risk_ucb_gt_alpha,coverage_collapse_count
cifar10,asym20,0.05,full_coverage,3,0,,0.0,0.0,,,,,0.2050122996224786,0.99880242475684,high_cert_error_ucb,False,3.0
cifar10,asym20,0.05,ltt_bonferroni,3,0,,0.0,0.0,,,,,0.2236830263392802,0.9960464409536964,high_cert_error_ucb,False,3.0
cifar10,asym20,0.05,naive_empirical_threshold,3,0,,0.0,0.0,,,,,0.0780082348372506,0.4295007130162171,high_cert_error_ucb,False,3.0
cifar10,asym20,0.05,no_buffer_proposal,3,0,,0.0,0.0,,,,,0.0820532025630924,0.4247291885636531,high_cert_error_ucb,False,3.0
cifar10,asym20,0.05,srcc_main,3,0,,0.0,0.0,,,,,0.0820532025630924,0.4247291885636531,high_cert_error_ucb,False,3.0
cifar10,asym20,0.05,uncertified_empirical_threshold,3,0,,0.0,0.0,,,,,0.0780082348372506,0.4295007130162171,high_cert_error_ucb,False,3.0
cifar10,asym20,0.1,full_coverage,3,0,,0.0,0.0,,,,,0.2050122996224786,0.99880242475684,high_cert_error_ucb,False,3.0
cifar10,asym20,0.1,ltt_bonferroni,3,3,0 1 2,0.5013375054389559,0.4196664836192861,0.5013375054389559,0.099124969161679,0.0727146316213826,0.5407000000000001,,,,,
cifar10,asym20,0.1,naive_empirical_threshold,3,0,,0.0,0.0,,,,,0.1190231967668846,0.6963181854600549,high_cert_error_ucb,False,3.0
cifar10,asym20,0.1,no_buffer_proposal,3,0,,0.0,0.0,,,,,0.1228244127566729,0.6918413386365712,high_cert_error_ucb,False,3.0
cifar10,asym20,0.1,srcc_main,3,3,0 1 2,0.5143017331417302,0.4829264284698527,0.5143017331417302,0.0827280577938565,0.0692250752033134,0.5309,,,,,
cifar10,asym20,0.1,uncertified_empirical_threshold,3,0,,0.0,0.0,,,,,0.1190231967668846,0.6963181854600549,high_cert_error_ucb,False,3.0
cifar10,clean,0.05,clean_trained_upper_bound,3,3,0 1 2,0.9794419466886622,0.972696238700284,0.9794419466886622,0.0451261026396594,0.0445095087123224,0.9851333333333332,,,,,
cifar10,clean,0.05,full_coverage,3,1,1,0.3329341415856133,0.0,0.99880242475684,0.0492095653050631,0.052,1.0,0.0509265662787497,0.99880242475684,high_cert_error_ucb,False,2.0
cifar10,clean,0.05,ltt_bonferroni,3,3,0 1 2,0.9654645846167984,0.9618001851174044,0.9654645846167984,0.0496060123418098,0.0419451403426244,0.9790666666666666,,,,,
cifar10,clean,0.05,naive_empirical_threshold,3,2,0 1,0.6630326984988518,0.0,0.9945490477482776,0.0478522803532754,0.0501351568785197,0.9972,0.0513554290501352,0.99880242475684,high_cert_error_ucb,False,1.0
cifar10,clean,0.05,no_buffer_proposal,3,1,0,0.3297531732809456,0.0,0.989259519842837,0.0486154270411234,0.0482703137570394,0.9944,0.051377959172236,0.998363602535883,high_cert_error_ucb,False,2.0
cifar10,clean,0.05,srcc_main,3,3,0 1 2,0.9794419466886622,0.972696238700284,0.9794419466886622,0.0451261026396594,0.0445095087123224,0.9851333333333332,,,,,
cifar10,clean,0.05,uncertified_empirical_threshold,3,2,0 1,0.6630326984988518,0.0,0.9945490477482776,0.0478522803532754,0.0501351568785197,0.9972,0.0513554290501352,0.99880242475684,high_cert_error_ucb,False,1.0
cifar10,clean,0.1,clean_trained_upper_bound,3,3,0 1 2,0.9981036233451254,0.9975836649636104,0.9981036233451254,0.052698009136076,0.051490266372922,0.9995333333333334,,,,,
cifar10,clean,0.1,full_coverage,3,3,0 1 2,0.99880242475684,0.99880242475684,0.99880242475684,0.0504971868779826,0.0519,1.0,,,,,
cifar10,clean,0.1,ltt_bonferroni,3,3,0 1 2,0.9960464409536964,0.9960464409536964,0.9960464409536964,0.0611861106816766,0.0516187171570009,0.9996333333333332,,,,,
cifar10,clean,0.1,naive_empirical_threshold,3,3,0 1 2,0.9985695746483072,0.998103874431242,0.9985695746483072,0.0505039537285098,0.051490266372922,0.9995333333333334,,,,,
cifar10,clean,0.1,no_buffer_proposal,3,3,0 1 2,0.9981036233451254,0.9975836649636104,0.9981036233451254,0.052698009136076,0.051490266372922,0.9995333333333334,,,,,
cifar10,clean,0.1,srcc_main,3,3,0 1 2,0.9981036233451254,0.9975836649636104,0.9981036233451254,0.052698009136076,0.051490266372922,0.9995333333333334,,,,,
cifar10,clean,0.1,uncertified_empirical_threshold,3,3,0 1 2,0.9985695746483072,0.998103874431242,0.9985695746483072,0.0505039537285098,0.051490266372922,0.9995333333333334,,,,,
cifar10,sym35,0.05,full_coverage,3,0,,0.0,0.0,,,,,0.3235490036861229,0.99880242475684,high_cert_error_ucb,False,3.0
cifar10,sym35,0.05,ltt_bonferroni,3,0,,0.0,0.0,,,,,0.3448745175116146,0.9960464409536964,high_cert_error_ucb,False,3.0
cifar10,sym35,0.05,naive_empirical_threshold,3,0,,0.0,0.0,,,,,0.097016323950073,0.1167509659094724,high_cert_error_ucb,True,3.0
cifar10,sym35,0.05,no_buffer_proposal,3,0,,0.0,0.0,,,,,0.1055815382232475,0.1137112383450798,high_cert_error_ucb,True,3.0
cifar10,sym35,0.05,srcc_main,3,0,,0.0,0.0,,,,,0.1055815382232475,0.1137112383450798,high_cert_error_ucb,True,3.0
cifar10,sym35,0.05,uncertified_empirical_threshold,3,0,,0.0,0.0,,,,,0.097016323950073,0.1167509659094724,high_cert_error_ucb,True,3.0
cifar10,sym35,0.1,full_coverage,3,0,,0.0,0.0,,,,,0.3235490036861229,0.99880242475684,high_cert_error_ucb,False,3.0
cifar10,sym35,0.1,ltt_bonferroni,3,0,,0.0,0.0,,,,,0.3448745175116146,0.9960464409536964,high_cert_error_ucb,False,3.0
cifar10,sym35,0.1,naive_empirical_threshold,3,0,,0.0,0.0,,,,,0.1230540487837075,0.4298989428780755,high_cert_error_ucb,True,3.0
cifar10,sym35,0.1,no_buffer_proposal,3,0,,0.0,0.0,,,,,0.1279504500355885,0.425126805229417,high_cert_error_ucb,True,3.0
cifar10,sym35,0.1,srcc_main,3,1,2,0.0338535998026107,0.0,0.1015607994078321,0.0919796140746519,0.0504273504273504,0.117,0.1303717969711693,0.3901900153685774,high_cert_error_ucb,True,2.0
cifar10,sym35,0.1,uncertified_empirical_threshold,3,0,,0.0,0.0,,,,,0.1230540487837075,0.4298989428780755,high_cert_error_ucb,True,3.0
cifar100,asym20,0.05,full_coverage,3,0,,0.0,0.0,,,,,0.3563210669843483,0.99880242475684,high_cert_error_ucb,False,3.0
cifar100,asym20,0.05,ltt_bonferroni,3,0,,0.0,0.0,,,,,0.3780829365873068,0.9960464409536964,high_cert_error_ucb,False,3.0
cifar100,asym20,0.05,naive_empirical_threshold,3,0,,0.0,0.0,,,,,0.0883991683339157,0.2589358693885343,high_cert_error_ucb,True,3.0
cifar100,asym20,0.05,no_buffer_proposal,3,0,,0.0,0.0,,,,,0.0939062059418437,0.2547431060772127,high_cert_error_ucb,True,3.0
cifar100,asym20,0.05,srcc_main,3,1,0,0.0460492912090275,0.0,0.1381478736270826,0.0494857149328364,0.0278657378087397,0.1579,0.0939062059418437,0.2547431060772127,high_cert_error_ucb,True,2.0
cifar100,asym20,0.05,uncertified_empirical_threshold,3,0,,0.0,0.0,,,,,0.0883991683339157,0.2589358693885343,high_cert_error_ucb,True,3.0
cifar100,asym20,0.1,full_coverage,3,0,,0.0,0.0,,,,,0.3563210669843483,0.99880242475684,high_cert_error_ucb,False,3.0
cifar100,asym20,0.1,ltt_bonferroni,3,3,0 1 2,0.2253702055075677,0.1823752404780673,0.2253702055075677,0.0965643445175865,0.0522935645223517,0.2647666666666666,,,,,
cifar100,asym20,0.1,naive_empirical_threshold,3,1,0,0.1303079393571622,0.0,0.3909238180714866,0.0991629921646532,0.090057636887608,0.4164,0.1257363967583538,0.4338818297662484,high_cert_error_ucb,True,2.0
cifar100,asym20,0.1,no_buffer_proposal,3,0,,0.0,0.0,,,,,0.1306532189163945,0.4291037327015375,high_cert_error_ucb,True,3.0
cifar100,asym20,0.1,srcc_main,3,3,0 1 2,0.281908423941335,0.2547431060772127,0.281908423941335,0.0889363849643974,0.0598736529684569,0.3065,,,,,
cifar100,asym20,0.1,uncertified_empirical_threshold,3,1,0,0.1303079393571622,0.0,0.3909238180714866,0.0991629921646532,0.090057636887608,0.4164,0.1257363967583538,0.4338818297662484,high_cert_error_ucb,True,2.0
cifar100,clean,0.05,clean_trained_upper_bound,3,3,0 1 2,0.4538150087865558,0.425126805229417,0.4538150087865558,0.0462936292894617,0.0305248196814208,0.4819666666666666,,,,,
cifar100,clean,0.05,full_coverage,3,0,,0.0,0.0,,,,,0.2422343014428472,0.99880242475684,high_cert_error_ucb,False,3.0
cifar100,clean,0.05,ltt_bonferroni,3,3,0 1 2,0.3628974075590161,0.3195937044012064,0.3628974075590161,0.0495071190800882,0.0215997779364495,0.4114,,,,,
cifar100,clean,0.05,naive_empirical_threshold,3,0,,0.0,0.0,,,,,0.0683780024894926,0.588431858024107,high_cert_error_ucb,True,3.0
cifar100,clean,0.05,no_buffer_proposal,3,0,,0.0,0.0,,,,,0.0716379943166233,0.5836614848899104,high_cert_error_ucb,True,3.0
cifar100,clean,0.05,srcc_main,3,3,0 1 2,0.4538150087865558,0.425126805229417,0.4538150087865558,0.0462936292894617,0.0305248196814208,0.4819666666666666,,,,,
cifar100,clean,0.05,uncertified_empirical_threshold,3,0,,0.0,0.0,,,,,0.0683780024894926,0.588431858024107,high_cert_error_ucb,True,3.0
cifar100,clean,0.1,clean_trained_upper_bound,3,3,0 1 2,0.6390292779922078,0.6301166185725529,0.6390292779922078,0.0850731851838436,0.0707612244722177,0.6600666666666667,,,,,
cifar100,clean,0.1,full_coverage,3,0,,0.0,0.0,,,,,0.2422343014428472,0.99880242475684,high_cert_error_ucb,False,3.0
cifar100,clean,0.1,ltt_bonferroni,3,3,0 1 2,0.6237050623579524,0.6117068393927408,0.6237050623579524,0.0976786105312305,0.0712954099584003,0.6634666666666668,,,,,
cifar100,clean,0.1,naive_empirical_threshold,3,0,,0.0,0.0,,,,,0.1178179440452026,0.7328990626275687,high_cert_error_ucb,True,3.0
cifar100,clean,0.1,no_buffer_proposal,3,0,,0.0,0.0,,,,,0.1215086772821431,0.7285841210939821,high_cert_error_ucb,True,3.0
cifar100,clean,0.1,srcc_main,3,3,0 1 2,0.6390292779922078,0.6301166185725529,0.6390292779922078,0.0850731851838436,0.0707612244722177,0.6600666666666667,,,,,
cifar100,clean,0.1,uncertified_empirical_threshold,3,0,,0.0,0.0,,,,,0.1178179440452026,0.7328990626275687,high_cert_error_ucb,True,3.0
cifar100,sym35,0.05,full_coverage,3,0,,0.0,0.0,,,,,0.4966464684565346,0.99880242475684,high_cert_error_ucb,False,3.0
cifar100,sym35,0.05,ltt_bonferroni,3,0,,0.0,0.0,,,,,0.519095200556104,0.9960464409536964,high_cert_error_ucb,False,3.0
cifar100,sym35,0.05,naive_empirical_threshold,3,0,,0.0,0.0,,,,,0.107623710566346,0.1333356453330409,high_cert_error_ucb,False,3.0
cifar100,sym35,0.05,no_buffer_proposal,3,0,,0.0,0.0,,,,,0.115969257723324,0.1301114725298218,high_cert_error_ucb,False,3.0
cifar100,sym35,0.05,srcc_main,3,0,,0.0,0.0,,,,,0.115969257723324,0.1301114725298218,high_cert_error_ucb,False,3.0
cifar100,sym35,0.05,uncertified_empirical_threshold,3,0,,0.0,0.0,,,,,0.107623710566346,0.1333356453330409,high_cert_error_ucb,False,3.0
cifar100,sym35,0.1,full_coverage,3,0,,0.0,0.0,,,,,0.4966464684565346,0.99880242475684,high_cert_error_ucb,False,3.0
cifar100,sym35,0.1,ltt_bonferroni,3,2,0 1,0.0639967645145877,0.0,0.0959951467718816,0.0980838798160656,0.0570212007044608,0.13435,0.519095200556104,0.9960464409536964,high_cert_error_ucb,False,1.0
cifar100,sym35,0.1,naive_empirical_threshold,3,0,,0.0,0.0,,,,,0.1416471246605563,0.2691581496461837,high_cert_error_ucb,True,3.0
cifar100,sym35,0.1,no_buffer_proposal,3,0,,0.0,0.0,,,,,0.1481871262320718,0.2649108197753568,high_cert_error_ucb,True,3.0
cifar100,sym35,0.1,srcc_main,3,2,0 1,0.0833035927606635,0.0,0.1249553891409952,0.0865940936960116,0.0622197909058606,0.1544,0.1363618848916696,0.222373985340078,high_cert_error_ucb,True,1.0
cifar100,sym35,0.1,uncertified_empirical_threshold,3,0,,0.0,0.0,,,,,0.1416471246605563,0.2691581496461837,high_cert_error_ucb,True,3.0
